id,title,corpus,poster,backdrop
41154,Men in Black 3,Men Black 3 Agents J Will Smith K Tommy Lee Jones backin time J seen inexplicable things 15 years Men Black nothing even aliens perplexes much wry reticent partner Ks life fate planet put stake Agent J travel back time put things right J discovers secrets universe K never told  secrets reveal teams young Agent K Josh Brolin save partner agency future humankind back time timetravel timemachine alien willsmith tommyleejones joshbrolin barrysonnenfeld action comedy sciencefiction,/90DdoEStzeObs96fsYf4GG544iN.jpg,/5AhpUb8CAP0jZ4Wrn7AsRUYjZxB.jpg
10193,Toy Story 3,Toy Story 3 Woody Buzz rest Andys toys played years Andy go college gang find accidentally left nefarious day care center toys must band together escape return home Andy toy gets left behind hostage college toy tomhanks timallen nedbeatty leeunkrich animation family comedy,/AbbXspMOwdvwWZgVN0nabZq03Ec.jpg,/uAfhsySkr1UzQg1zdg3dZQRz9Fd.jpg
62177,Brave,Brave Brave set mystical Scottish Highlands MÃ©rida princess kingdom ruled King Fergus Queen Elinor unruly daughter accomplished archer MÃ©rida one day defies sacred custom land inadvertently brings turmoil kingdom attempt set things right MÃ©rida seeks eccentric old Wise Woman granted illfated wish Also figuring MÃ©ridaâs quest â serving comic relief â kingdomâs three lords enormous Lord MacGuffin surly Lord Macintosh disagreeable Lord Dingwall Change fate scotland rebel bravery kellymacdonald juliewalters billyconnolly brendachapman animation adventure comedy,/1XAuDtMWpL0sYSFK0R6EZate2Ux.jpg,/qx9ts2hBYJrkIQxhryitxnLlm2u.jpg
5174,Rush Hour 3,Rush Hour 3 attempted assassination Ambassador Han Inspector Lee Detective Carter back action head Paris protect French woman knowledge Triads secret leaders Lee also holds secret meetings United Nations authority personal struggles Chinese criminal mastermind named Kenji reveals Lees longlostbrother Rush On ambassador christucker jackiechan hiroyukisanada brettratner action comedy crime,/rZ7IxJlPhNNJ6Rn8z1rzsXuA70P.jpg,/ozsLB1HRCN6ZAmJN89pWtoiAwnb.jpg
14160,Up, Carl Fredricksen spent entire life dreaming exploring globe experiencing life fullest age 78 life seems passed by twist fate and persistent 8year old Wilderness Explorer named Russell gives new lease life  agedifference centralandsouthamerica balloon edasner christopherplummer jordannagai petedocter animation comedy family,/mFvoEwSfLqbcWwFsDjQebn9bzFe.jpg,/hGGC9gKo7CFE3fW07RA587e5kol.jpg
8487,Wild Wild West,Wild Wild West Legless Southern inventor Dr Arliss Loveless plans rekindle Civil War assassinating President US Grant two men stop him gunfighter James West masterofdisguise inventor Artemus Gordon two must team thwart Loveless plans whole new west steampunk basedontvseries steamlocomotive willsmith kevinkline kennethbranagh barrysonnenfeld action adventure comedy,/1AUzpDzJSecEBIgwUIPzL5KMuTQ.jpg,/9ecT7tkBsEeRY2xDRUxlkr7bQhY.jpg
2698,Evan Almighty,Evan Almighty God contacts Congressman Evan Baxter tells build ark preparation great flood comedy biblical proportions fathersonrelationship dailylife marriedcouple stevecarell laurengraham johngoodman tomshadyac fantasy comedy family,/5vjH8oQFZXJ0gTOPsJKWidVsWmg.jpg,/gdGIwCH9OS2w2USTKUlcTppXfXz.jpg
150540,Inside Out,Inside Growing bumpy road exception Riley uprooted Midwest life father starts new job San Francisco Like us Riley guided emotions  Joy Fear Anger Disgust Sadness emotions live Headquarters control center inside Rileys mind help advise everyday life Riley emotions struggle adjust new life San Francisco turmoil ensues Headquarters Although Joy Rileys main important emotion tries keep things positive emotions conflict best navigate new city house school Meet little voices inside head dream cartoon imaginaryfriend amypoehler phyllissmith richardkind petedocter drama comedy animation,/2H1TmgdfNtsKlU9jKdeNyYL5y8T.jpg,/j29ekbcLpBvxnGk6LjdTc2EI5SA.jpg
10192,Shrek Forever After,Shrek Forever bored domesticated Shrek pacts dealmaker Rumpelstiltskin get back feeling like real ogre again hes duped sent twisted version Far Far Awayâwhere Rumpelstiltskin king ogres hunted Fiona never metâhe sets restore world reclaim true love aint Ogre Til Ogre ogre 3d mikemyers eddiemurphy camerondiaz mikemitchell comedy adventure fantasy,/6HrfPZtKcGmX2tUWW3cnciZTaSD.jpg,/gVl6aX2paJIHpMxAAe8X36VNExi.jpg
82690,Wreck-It Ralph,WreckIt Ralph WreckIt Ralph 9foottall 643pound villain arcade video game named FixIt Felix Jr games titular hero fixes buildings Ralph destroys Wanting prove good guy villain Ralph escapes game lands Heros Duty firstperson shooter helps games hero battle alien invaders later enters Sugar Rush kart racing game set tracks made candies cookies sweets There Ralph meets Vanellope von Schweetz learned game faced dire threat could affect entire arcade one Ralph may inadvertently started story regular guy looking little wreckognition supportgroup productplacement bullying johncreilly sarahsilverman jackmcbrayer richmoore family animation comedy,/zWoIgZ7mgmPkaZjG0102BSKFIqQ.jpg,/ziC23LkMYj8gToQQYQGWSGJCLNF.jpg
