id,title,corpus,poster,backdrop
158852,Tomorrowland,Tomorrowland Bound shared destiny bright optimistic teen bursting scientific curiosity former boygenius inventor jaded disillusionment embark dangerfilled mission unearth secrets enigmatic place somewhere time space exists collective memory Tomorrowland Imagine world nothing impossible inventor apocalypse destiny brittrobertson georgeclooney raffeycassidy bradbird adventure family mystery,/iHh0nVGVODAFduF6Q6njdSSCEfX.jpg,/cteybFaQme2gzW3qnflMk87pSCN.jpg
13448,Angels & Demons,Angels  Demons Harvard symbologist Robert Langdon investigates mysterious symbol seared chest murdered physicist discovers evidence unimaginable rebirth ancient secret brotherhood known Illuminati powerful underground organization ever walk earth  rome vatican basedonnovel tomhanks ewanmcgregor ayeletzurer ronhoward thriller mystery,/hrvNVd0GDeytbDhduWa3SFKmg4A.jpg,/cj0VkGBTywa7WTIPPW9xgqmUVWl.jpg
13183,Watchmen,Watchmen gritty alternate 1985 glory days costumed vigilantes brought close government crackdown one masked veterans brutally murdered investigation killer initiated reunited heroes set prevent destruction uncover sinister plot puts humanity grave danger Justice coming us matter do dccomics secretidentity massmurder malin̴kerman billycrudup carlagugino zacksnyder action mystery sciencefiction,/aZvOkdo203bm1kpcY0A0Tn074ER.jpg,/uOvNJMVy3VzEfS75hXroITSsdWY.jpg
2503,The Bourne Ultimatum,Bourne Ultimatum Bourne brought hiding reporter Simon Ross trying unveil Operation Blackbriar upgrade Project Treadstone series newspaper columns Information reporter stirs new set memories Bourne must finally uncover dark past dodging Companys best efforts eradicate him Remember everything Forgive nothing paris corruption madrid mattdamon juliastiles davidstrathairn paulgreengrass action drama mystery,/15rMz5MRXFp7CP4VxhjYw4y0FUn.jpg,/qiBILuWhv7ipF0pxiEqIJdkQzj8.jpg
27576,Salt,Salt CIA officer Evelyn Salt swore oath duty honor country loyalty tested defector accuses Russian spy Salt goes run using skills years experience covert operative elude capture Salts efforts prove innocence serve cast doubt motives hunt uncover truth behind identity continues question remains Who Salt Salt assassination spy cia angelinajolie lievschreiber chiwetelejiofor phillipnoyce action mystery thriller,/ppXyhOe8UCEOrBRSYqE3SkHwrcR.jpg,/75S1XsekIPF7c99g5cby0DeorPz.jpg
17578,The Adventures of Tintin,Adventures Tintin Intrepid young reporter Tintin loyal dog Snowy thrust world high adventure discover ship carrying explosive secret Tintin drawn centuriesold mystery Ivan Ivanovitch Sakharine suspects stealing priceless treasure Tintin Snowy help salty cantankerous Captain Haddock bumbling detectives Thompson amp Thomson travel half world one step ahead enemies Tintin endeavors find Unicorn sunken ship may hold vast fortune also ancient curse year discover far adventure take you riddle captain treasure jamiebell andyserkis danielcraig stevenspielberg adventure animation mystery,/mKYkNro2btaWMsnYSuyqrBdHQo3.jpg,/yMAqgJyxLm7wqeuQOr3J6FlIHxf.jpg
591,The Da Vinci Code,Da Vinci Code curator Louvre found murdered famed museums hallowed halls Harvard professor Robert Langdon cryptographer Sophie Neve must untangle deadly web deceit involving works Leonardo da Vinci Seek truth paris holygrail christianity tomhanks audreytautou ianmckellen ronhoward thriller mystery,/j9lsWwnIDN2ZNtqZcE1x2o4ZKyI.jpg,/66oSbVOmD4W7S6ILRPssYt51ab4.jpg
70981,Prometheus,Prometheus team explorers discover clue origins mankind Earth leading journey darkest corners universe There must fight terrifying battle save future human race Search Beginning Could Lead End android dystopia alien noomirapace michaelfassbender guypearce ridleyscott sciencefiction adventure mystery,/m7nZCtHJyDLncBUarfM5h5mrppx.jpg,/hO97RyNjBIMfzfFpUjNhsm4zImh.jpg
9268,Eraser,Eraser US Marshall John Kruger erases identities people enrolled Witness Protection Program current assignment protect Lee Cullen whos uncovered evidence weapons manufacturer works selling terrorist groups Kruger discovers theres corrupt agent within program must guard life trying protect Lees erase past protect future suicide ambush showdown arnoldschwarzenegger jamescaan vanessawilliams chuckrussell action drama mystery,/1FUV5ZmEkbxvqwQW0az4tFFOSmo.jpg,/8n6ZCFJWwK7UiX7NYuIEvHLRPYG.jpg
29193,The Spanish Prisoner,Spanish Prisoner employee corporation lucrative secret process tempted betray it theres that oldest con book dialogue confidence invention stevemartin campbellscott bengazzara davidmamet crime drama mystery,/cwkWlWfFrvH6WW6ovX5gfGHo7ks.jpg,/cFTzUosDnHsG0QUDP2OuiAxFoTL.jpg
