id,title,corpus,poster,backdrop
49529,John Carter,John Carter John Carter warweary former military captain whos inexplicably transported mysterious exotic planet Barsoom Mars reluctantly becomes embroiled epic conflict world brink collapse Carter rediscovers humanity realizes survival Barsoom people rests hands Lost world found another basedonnovel mars medallion taylorkitsch lynncollins samanthamorton andrewstanton action adventure sciencefiction,/lCxz1Yus07QCQQCb6I0Dr3Lmqpx.jpg,/ubNevniKd5NYo60DqYIQ29T0uyB.jpg
99861,Avengers: Age of Ultron,Avengers Age Ultron Tony Stark tries jumpstart dormant peacekeeping program things go awry Earthâs Mightiest Heroes put ultimate test fate planet hangs balance villainous Ultron emerges Avengers stop enacting terrible plans soon uneasy alliances unexpected action pave way epic unique global adventure New Age Come marvelcomic sequel superhero robertdowneyjr chrishemsworth markruffalo josswhedon action adventure sciencefiction,/4ssDuvEDkSArWEdyBl2X5EHvYKU.jpg,/6YwkGolwdOMNpbTOmLjoehlVWs5.jpg
24428,The Avengers,Avengers unexpected enemy emerges threatens global safety security Nick Fury director international peacekeeping agency known SHIELD finds need team pull world back brink disaster Spanning globe daring recruitment effort begins assembly required newyork shield marvelcomic robertdowneyjr chrisevans markruffalo josswhedon sciencefiction action adventure,/RYMX2wcKCBAr24UyPD7xwmjaTn.jpg,/9BBTo63ANSmhC4e6r62OJFuK2GL.jpg
41154,Men in Black 3,Men Black 3 Agents J Will Smith K Tommy Lee Jones backin time J seen inexplicable things 15 years Men Black nothing even aliens perplexes much wry reticent partner Ks life fate planet put stake Agent J travel back time put things right J discovers secrets universe K never told  secrets reveal teams young Agent K Josh Brolin save partner agency future humankind back time timetravel timemachine alien willsmith tommyleejones joshbrolin barrysonnenfeld action comedy sciencefiction,/90DdoEStzeObs96fsYf4GG544iN.jpg,/5AhpUb8CAP0jZ4Wrn7AsRUYjZxB.jpg
271110,Captain America: Civil War,Captain America Civil War Following events Age Ultron collective governments world pass act designed regulate superhuman activity polarizes opinion amongst Avengers causing two factions side Iron Man Captain America causes epic battle former allies Divided Fall civilwar war marvelcomic chrisevans robertdowneyjr scarlettjohansson anthonyrusso adventure action sciencefiction,/rAGiXaUfPzY7CDEyNKUofk3Kw2e.jpg,/wdwcOBMkt3zmPQuEMxB3FUtMio2.jpg
135397,Jurassic World,Jurassic World Twentytwo years events Jurassic Park Isla Nublar features fully functioning dinosaur theme park Jurassic World originally envisioned John Hammond park open ,/A0LZHXUzo5C60Oahvt7VxvwuzHw.jpg,/aIGIYJTyOkEVUmEd3z5x6diYsFx.jpg
68721,Iron Man 3,Iron Man 3 Tony Starks world torn apart formidable terrorist called Mandarin starts odyssey rebuilding retribution Unleash power behind armor terrorist waronterror tennessee robertdowneyjr gwynethpaltrow doncheadle shaneblack action adventure sciencefiction,/qhPtAc1TKbMPqNvcdXSOn9Bn7hZ.jpg,/aFTYFqrWp4RS46Twm87l5e0ItYb.jpg
36668,X-Men: The Last Stand,XMen Last Stand cure found treat mutations lines drawn amongst XMen Brotherhood band powerful mutants organized Xaviers former ally Magneto Take Stand mutant marvelcomic basedoncomicbook hughjackman halleberry ianmckellen brettratner adventure action sciencefiction,/sNSvwqiNXjEvDSeQFsJAGPEP7Gl.jpg,/sBl1n4Oi2wX81EtXIb8NsPqJf3W.jpg
8373,Transformers: Revenge of the Fallen,Transformers Revenge Fallen Sam Witwicky leaves Autobots behind normal life mind filled cryptic symbols Decepticons target dragged back Transformers war Revenge coming egypt sun chaos shialabeouf meganfox joshduhamel michaelbay sciencefiction action adventure,/pLBb0whOzVDtJvyD4DPeQyQNOqp.jpg,/zbdoCe1meTyy0v1fsIxZ9Q0ef3H.jpg
91314,Transformers: Age of Extinction,Transformers Age Extinction humanity picks pieces following conclusion Transformers Dark Moon Autobots Decepticons vanished face planet However group powerful ingenious businessman scientists attempt learn past Transformer incursions push boundaries technology beyond control  ancient powerful Transformer menace sets Earth crosshairs war extinction sequel alien transformers markwahlberg stanleytucci kelseygrammer michaelbay sciencefiction action adventure,/jyzrfx2WaeY60kYZpPYepSjGz4S.jpg,/wxr4Z6E83h14CogsZOzDm1vuDX3.jpg
20526,TRON: Legacy,TRON Legacy Sam Flynn techsavvy daring son Kevin Flynn investigates fathers disappearance pulled Grid help mysterious program named Quorra Sam quests stop evil dictator Clu crossing real world Game Changed artificialintelligence secretidentity computerprogram garretthedlund jeffbridges oliviawilde josephkosinski adventure action sciencefiction,/vuifSABRpSnxCAOxEnWpNbZSXpp.jpg,/zK7wNuUQ4w0QQp9FF20YTPVgpyN.jpg
534,Terminator Salvation,Terminator Salvation grown postapocalyptic 2018 John Connor must lead resistance humans increasingly dominating militaristic robots Marcus Wright appears existence confuses mission Connor tries determine whether Wright come future past  whether hes friend foe End Begins savingtheworld artificialintelligence prophecy christianbale samworthington antonyelchin mcg action sciencefiction thriller,/gw6JhlekZgtKUFlDTezq3j5JEPK.jpg,/5tKiuZvvV1lic7v65rdoGPmoOvf.jpg
54138,Star Trek Into Darkness,Star Trek Darkness crew Enterprise called back home find unstoppable force terror within organization detonated fleet everything stands for leaving world state crisis personal score settle Captain Kirk leads manhunt warzone world capture one man weapon mass destruction heroes propelled epic chess game life death love challenged friendships torn apart sacrifices must made family Kirk left crew Earth Fall spacecraft friendship sequel chrispine zacharyquinto zoesaldana jjabrams action adventure sciencefiction,/7XrRkhMa9lQ71RszzSyVrJVvhyS.jpg,/npDrIM6ZbuD7nUxI7ZzNBxs4IRF.jpg
